metabolite_name	Retention Index	PubChem CID	KEGG ID	mass spectrum
(-)-Columbianetin	9.43	442104	C09210	247.0941
(-)-Glyceollin I	8.84	162807	C01701	170.0651
(-)-Jasmonic acid	12.75	5281166	C08491	211.1330
(-)-Limonene_1	8.46	439250	C00521	137.1326
(-)-Limonene_2	11.74	439250	C00521	137.1326
(-)-Limonene_3	12.61	439250	C00521	137.1326
(-)-Menthyl acetate_1	12.70	220674	C09870	199.1695
(-)-Menthyl acetate_2	15.16	220674	C09870	199.1695
(-)-Menthyl acetate_3	13.73	220674	C09870	199.1694
(-)-Sympatol_1	8.85	854067	C01869	168.1020
(-)-Sympatol_2	7.29	854067	C01869	168.1020
(+)-Camphor_1	7.52	2537	C00808	153.1275
(+)-Camphor_2	8.41	2537	C00808	153.1275
(+)-Camphor_3	12.04	2537	C00808	153.1275
(+)-Norephedrine	10.12	26934	C02343	152.1071
(+/-)-5-[(tert-Butylamino)-2'-hydroxypropoxy]-1,2,3,4-tetrahydro-1-naphthol	14.32	NOT Found in Database	C04875	294.2065
(10S)-Juvenile hormone III acid diol	11.22	23724772	C16506	271.1905
(10S)-Juvenile hormone III diol	12.01	10859043	C16505	285.2060
(3-Arylcarbonyl)-alanine	8.78	412786	C03450	194.0814
(3S,5S)-Carbapenam-3-carboxylic acid	3.40	6337945	C17367	156.0656
(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid	15.87	445580	C06429	329.2475
(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid ethyl ester_1	12.48	9831416	C16185	357.2788
(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid ethyl ester_2	12.02	9831416	C16185	357.2789
(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid ethyl ester_3	11.58	9831416	C16185	357.2789
(6S,9R)-Vomifoliol	13.61	5280462	C01760	225.1486
(6Z,9Z,12Z)-Octadecatrienoic acid_1	15.59	5280933	C06426	279.2319
(6Z,9Z,12Z)-Octadecatrienoic acid_2	14.71	5280933	C06426	279.2320
(8Z,11Z,14Z)-Icosatrienoic acid	16.71	5280581	C03242	307.2632
(9Z)-Hexadecenoic acid_1	14.30	445638	C08362	255.2319
(9Z)-Hexadecenoic acid_2	16.16	445638	C08362	255.2319
(9Z)-Hexadecenoic acid_3	13.32	445638	C08362	255.2319
(9Z)-Octadecenoic acid	14.52	445639	C00712	283.2632
(9Z,12Z)-(8R)-Hydroxyoctadeca-9,12-dienoic acid_1	14.71	5281117	C08318	297.2425
(9Z,12Z)-(8R)-Hydroxyoctadeca-9,12-dienoic acid_2	15.41	5281117	C08318	297.2425
(E)-4-(Trimethylammonio)but-2-enoate_1	1.12	NOT Found in Database	C04114	144.1020
(E)-4-(Trimethylammonio)but-2-enoate_2	6.80	NOT Found in Database	C04114	144.1020
(E)-4-(Trimethylammonio)but-2-enoate_3	6.39	NOT Found in Database	C04114	144.1020
(E)-4-(Trimethylammonio)but-2-enoate_4	7.12	NOT Found in Database	C04114	144.1020
(E)-4-(Trimethylammonio)but-2-enoate_5	3.94	NOT Found in Database	C04114	144.1020
(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate	7.75	5459971	C04546	191.0895
(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate_1	2.12	24771808	C00450	128.0709
(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate_2	1.14	24771808	C00450	128.0709
(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate_3	1.64	24771808	C00450	128.0709
(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate_4	6.81	24771808	C00450	128.0708
(S)-ATPA_1	1.61	447407	C13733	229.1183
(S)-ATPA_2	7.64	447407	C13733	229.1185
1-(1-Oxopropyl)-1H-imidazole_1	1.15	77770	C03007	125.0713
1-(1-Oxopropyl)-1H-imidazole_2	6.28	77770	C03007	125.0713
1,2,3-Trihydroxybenzene	0.79	1057	C01108	127.0393
1,2,6-Hexanetriol	6.95	7823	C20334	135.1018
1,2-Bis(chloromethoxy)ethane	2.14	61632	C19348	158.9966
1,3,8-Naphthalenertriol	12.54	439428	C01173	177.0548
1,3-Dichloro-2-propanol	1.31	7289	C14399	128.9861
1,4'-Bipiperidine-1'-carboxylic acid_1	11.51	11367848	C16836	213.1598
1,4'-Bipiperidine-1'-carboxylic acid_2	11.16	11367848	C16836	213.1598
1,4'-Bipiperidine-1'-carboxylic acid_3	8.88	11367848	C16836	213.1598
10,16-Dihydroxyhexadecanoic acid	11.72	441449	C08285	289.2373
11beta,16alpha,17alpha,21-Tetrahydroxy-9alpha-fluoropregn-4-ene-3,20-dione 16,17-acetonide	7.94	228786	C14664	437.2363
11H-Benz[bc]aceanthrylene	0.80	164558	C19335	241.1030
11-Methoxy-vinorine	15.92	5282058	C12073	365.1886
14-Dihydroxycornestin	11.94	5281160	C08483	309.1308
17beta-Methylestra-1,3,5(10)-trien-3-ol	10.69	11954100	C15020	271.2057
1'-Acetoxychavicol acetate	9.17	119104	C10426	235.0942
1'-Acetoxyeugenol acetate	12.03	4484222	C10427	265.1046
1-Aminocyclopropane-1-carboxylate_1	1.44	5460234	C01234	102.0555
1-AMINOCYCLOPROPANE-1-CARBOXYLATE	0.79	535		102.0555
1-Aminocyclopropane-1-carboxylate_2	2.11	5460234	C01234	102.0555
1-Dehydro-9-fluoro-11-oxotestololactone	15.59	253326	C15387	333.1514
1-Hydroxy-2-methyl-2-butenyl 4-diphosphate	0.77	5281976	C11811	263.0076
1-Methyladenosine	3.89	27476	C02494	282.1198
1-Octanal_1	12.48	454	C01545	129.1276
1-Octanal_2	9.11	454	C01545	129.1276
1-O-Hexadecyl-lyso-sn-glycero-3-phosphocholine	13.84	3983	C13903	482.3611
1-Oleoylglycerophosphocholine	13.21	5280634	C03916	523.3593
1-Pyrroline-2-carboxylate_1	2.01	440046	C03564	114.0554
1-Pyrroline-2-carboxylate_2	1.25	440046	C03564	114.0555
1-Pyrroline-2-carboxylate_3	3.15	440046	C03564	114.0554
2-(Biaryl)carbapenems	9.34	443582	C12019	175.5732
2-(Methylthio)ethanesulfonate	1.11	893	C03920	156.9976
2,2-Dimethyl-3-[4-(acetyloxy)phenyl]-4-ethyl-2H-1-benzopyran-7-ol acetate	10.29	256418	C15050	191.0887
2,2-Dimethyl-8-prenylchromene 6-carboxylic acid	10.55	441962	C09003	273.1485
2,3-Dihydroxybenzoate	2.64	54675818	C00196	155.0348
2,3-Dimethylmaleate_1	0.79	3032309	C00922	145.0496
2,3-Dimethylmaleate_2	1.90	3032309	C00922	145.0496
2,4-Bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose	6.08	56927717	C19972	247.1288
2,5-Dichloro-4-oxohex-2-enedioate	0.70	5282172	C12835	226.9516
